2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 82, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01295 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 83, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01036 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 84, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01128 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 85, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01355 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 86, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.02103 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 87, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.03281 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 88, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01079 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 89, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01058 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 90, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01325 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 91, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.00996 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 92, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.01018 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 93, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.01018 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 94, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.01369 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 95, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.00935 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 96, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.00949 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 97, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.00956 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 98, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.01008 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 99, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.01079 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 100, Current best: 520.4603556231866, Global best: 520.4548679845058, Runtime: 0.00953 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: Solving single objective optimization problem.
